Wann kommt es zurück? ... Montag.;Am/-;in;-;1;
Wann kommt es zurück? ... Mai.;-;Im;Am;2;
Wann kommt es zurück? ... nächte Woche.;an der;-;in der/-;3;
Wann ist es kalt? ... Abend.;Am;Im;-;1;
Wann ist es kalt? ... der Nacht.;Am;In;-;2;
Wann ist es kalt? ... Herbst.;am;-;im;3;
Wann ist es kalt? ... Winter.;im;-;am;1;
Wann ist es kalt? ... Dezember.;Am;Im;ß;2;
Wann fliegen Sie nach Berlin? ... Weihnachten;An;In;-;3;
Wann fliegen Sie nach Berlin? ... Anfang nächstes Jahres.;-;Am;Im;1;
Ein kleiner Fehler ... Anfang wird ein großer ... Ende.;im;am;-;2;
Wann haben Sie ihn zuletzt gesehen? ... Ostern.;;;;3;
Wann haben Sie ihn zuletzt gesehen? ... Ende voriger Woche.;-;Im;Am;1;
Wann beginnt deer Kurs? ... 1. März.;Im;Am;-;2;
Wann beginnt deer Kurs? ... Frühjahr.;Am;-;Im;3;
Wann verreisen Sie? ... meinem Geburtstag.;An;In;-;1;
Wann verreisen Sie? ... Weihnachten.;An;-;In;2;
